title,price_gbp,rating,in_stock,detail_url
A Light in the Attic,51.77,3,True,a-light-in-the-attic_1000/index.html
Tipping the Velvet,53.74,1,True,tipping-the-velvet_999/index.html
Soumission,50.1,1,True,soumission_998/index.html
Sharp Objects,47.82,4,True,sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,54.23,5,True,sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,22.65,1,True,the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True,the-dirty-little-secrets_994/index.html
The Coming Woman: A Novel Based on the Life of the Infamous Feminist,17.93,3,True,the-coming-woman_993/index.html
The Boys in the Boat,22.6,4,True,the-boys-in-the-boat_992/index.html
The Black Maria,52.15,1,True,the-black-maria_991/index.html
Starving Hearts,13.99,2,True,starving-hearts_990/index.html
Shakespeare's Sonnets,20.66,4,True,shakespeares-sonnets_989/index.html
Set Me Free,17.46,5,True,set-me-free_988/index.html
Scott Pilgrim's Precious Little Life,52.29,5,True,scott-pilgrims-precious-little-life_987/index.html
Rip it Up and Start Again,35.02,5,True,rip-it-up-and-start-again_986/index.html
Our Band Could Be Your Life,57.25,3,True,our-band-could-be-your-life_985/index.html
Olio,23.88,1,True,olio_984/index.html
Mesaerion: The Best Science Fiction Stories,37.59,1,True,mesaerion-the-best-science-fiction_983/index.html
Libertarianism for Beginners,51.33,2,True,libertarianism-for-beginners_982/index.html
It's Only the Himalayas,45.17,2,True,its-only-the-himalayas_981/index.html
